Meanings,J Translation,English Definition,pronunciation,POS
agree,同意する；一致する；合う,to have the same opinion as someone else,əˈgri,動詞(verb)
agreement,合意；協定；一致,when you share the same opinion or reach a decision,əˈgrimənt,名詞(n.)
ahead,前方に；先に,In or toward the front,əˈhɛd,副詞(adv)
air,空気,mixture of gases around the earth that we breathe,ɛr,名詞(n.)
all,すべて,completely; totally,ɔl,副詞(adv)
allow,許可する,To let or permit someone do something,əˈlaʊ,動詞(verb)
almost,ほとんど,"Only a little less than, nearly, not quite",ˈɔlˌmoʊst,副詞(adv)
alone,独りで；ただ～だけ,Without anyone or anything else,əˈloʊn,副詞(adv)
along,～に沿って,At a point on a line,əˈlɔŋ,前置詞(prep.)
already,すでに,Having happened or been done before this time,ɔlˈrɛdi,副詞(adv)
alright,申し分ない；大丈夫である；了解した,OK; fine; good,ˌɔlˈraɪt,副詞(adv)
also,～もまた；同様に；その上,In addition; too; in a similar way,ˈɔlsoʊ,副詞(adv)
although,〜だけれども,Despite the fact that; however,ˌɔlˈðoʊ,接続詞(conj.)
always,いつも,at all times; in every situation,ˈɔlˌweɪz,副詞(adv)
amaze,びっくりさせる,To cause wonder; to surprise completely,əˈmeɪz,動詞(verb)
among,〜の間に；～の中の,In the center of some things; in relation to several things,əˈmʌŋ,前置詞(prep.)
amount,量；総計，合計に達する；結局～なる,quantity of something,əˈmaʊnt,名詞(n.)
and,～と・・・,used to refer to two or more things,ænd,接続詞(conj.)
angry,腹を立てている,Having a strong feeling of being upset,ˈæŋgri,形容詞(adj.)
animal,動物,A living creature that is not a plant or person,ˈænəməl,名詞(n.)
another,もう一つの；別の,one more (thing); additional (thing),əˈnʌðər,限定詞(det.)
answer,答え,solution to a problem or test question,ˈænsər,名詞(n.)
any,（疑問文で）何か；いくらか，（否定文で）どれも；少しも，（肯定文で）どれでも,one (thing) of many; some (thing),ˈɛni,限定詞(det.)
anybody,（疑問文で）誰か，（否定文で）誰も，（肯定文で）誰でも,Any person; anyone,ˈɛnibədi,代名詞(pron.)
anymore,もはやこれ以上～しない,No longer; no more,ˌɛniˈmɔr,副詞(adv)
anyone,（疑問文で）誰か，（否定文で）誰も，（肯定文で）誰でも,Any person,ˈɛniˌwʌn,代名詞(pron.)
anything,（疑問文で）何か，（否定文で）何も，（肯定文で）何でも,thing of any kind; used to refer to a thing in questions,ˈɛniˌθɪŋ,名詞(n.)
anyway,とにかく；いずれにせよ,A word people use to change the topic of a conversation,ˈɛniˌweɪ,副詞(adv)
anywhere,（疑問文で）どこかへ，（否定文で）どこにも，（肯定文で）どこでも,"in, at or to any place; used in questions, with 'not'",ˈɛniˌwɛr,副詞(adv)
apart,離れて；別々に,Separated by an amount of time or space,əˈpɑrt,副詞(adv)
apparent,明白な,Easy to see or clearly understand,əˈpɛrənt,形容詞(adj.)
apparently,明白に；見掛けは,according to what you heard; from what can be seen,əˈpɛrəntli,副詞(adv)
appear,現れる,"to be seen, become visible; come into sight",əˈpɪr,動詞(verb)
appearance,外観；出現；状況,The way that something looks,əˈpɪrəns,名詞(n.)
area,地域；場所,A specific section or space; part of a region,ˈɛriə,名詞(n.)
arm,腕,part of your body from your shoulder to your hand,ɑrm,名詞(n.)
around,～の周りに,"Located on every side, or along something",əˈraʊnd,副詞(adv)
arrival,到着,when someone or something gets to at a place,əˈraɪvəl,名詞(n.)
arrive,到着する,to reach the place you are travelling to,əˈraɪv,動詞(verb)
art,芸術,"A creative skill using the imagination, e.g. painting",ɑrt,名詞(n.)
artist,芸術家；アーティスト,"A person who is skilled and creative in art, such as a painter",ˈɑrtəst,名詞(n.)
as,同じぐらい；～のように,word that is used to compare two equal things,æz,前置詞(prep.)
ashamed,恥じている,Feeling shame or guilt because you did something wrong,əˈʃeɪmd,形容詞(adj.)
ask,尋ねる；求める；頼む,To say to someone that you want something,æsk,動詞(verb)
at,～の所で；～に,in the place where something is,æt,前置詞(prep.)
autumn,秋,"The season when the weather is getting colder, after summer",ˈɔtəm,名詞(n.)
aware,気づいている,Knowing or feeling that something exists,əˈwɛr,形容詞(adj.)
awareness,認識,Having knowledge of something,əˈwɛrnəs,名詞(n.)
away,離れて,Not here; far from here; in a different direction,əˈweɪ,副詞(adv)
awful,恐ろしい；ひどい,Very bad; horrible; terrible,ˈɑfəl,形容詞(adj.)
baby,赤ん坊,"very young child, who cannot yet speak",ˈbeɪbi,名詞(n.)
back,もとに戻って,have returned to a place you were before,bæk,副詞(adv)
bad,悪い,Not good; wrong,bæd,形容詞(adj.)
badly,悪く,Not in a good way; not as wanted or liked,ˈbædli,副詞(adv)
bag,かばん；バッグ；袋,soft container to put things in and carry with you,bæg,名詞(n.)
ball,ボール；球,small round object often used in a game or sport,bɔl,名詞(n.)
bank,銀行,A financial institution that keeps or lends money,bæŋk,名詞(n.)
bar,妨げる;  (道を)ふさぐ,"To prevent entry, exit or an action",bɑr,動詞(verb)
basic,基本的な,at the most important or easiest (beginner) level,ˈbeɪsɪk,形容詞(adj.)
basically,基本的には,Used before you explain something simply,ˈbeɪsɪkli,副詞(adv)
bath,浴槽,long container you fill with hot water to wash in,bæθ,名詞(n.)
be,～である,Being,bi,動詞(verb)
beach,砂浜,"large area of sand, next to an area of water",biʧ,名詞(n.)
bear,熊,large brown animal with fur that lives in forests,bɛr,名詞(n.)
beat,打ち負かす,To win against another person or team; defeat,bit,動詞(verb)
beautiful,美しい,Having very attractive or appealing physical qualities,ˈbjutəfəl,形容詞(adj.)
beauty,美人,The quality of being physically or visually attractive,ˈbjuti,名詞(n.)
because,なぜなら～だから,For a reason,bɪˈkɔz,接続詞(conj.)
become,～になる,To begin to be; grow to be; develop into,bɪˈkʌm,動詞(verb)
bed,ベッド,A piece of furniture that people sleep on,bɛd,名詞(n.)
before,以前に,At a time earlier than the present; previously,bɪˈfɔr,副詞(adv)
begin,始まる；始める,To do the first part of an action; to start,bɪˈgɪn,動詞(verb)
behind,～の後ろに,In or toward the back,bɪˈhaɪnd,副詞(adv)
believe,信じる,To think or accept that something is true,bɪˈliv,動詞(verb)
below,下に；低く,"In a lower position, place, or level",bɪˈloʊ,副詞(adv)
beneath,～の下に,Under; In or to a lower position; below,bɪˈniθ,前置詞(prep.)
beside,～の近くに;～の 隣に,By the side of something; next to something,bɪˈsaɪd,前置詞(prep.)
besides,～のほか；～を除いて，その上,Other than or in addition to,bɪˈsaɪdz,前置詞(prep.)
bet,賭ける,"To gamble money to win more money, e.g. on horses",bɛt,動詞(verb)
between,～の間に,In the space that separates two objects,bɪˈtwin,前置詞(prep.)
beyond,～の向こうに；～を超えて；～のほかに,On or to the farther side; in addition to,bɪˈɑnd,副詞(adv)
big,大きい,Large,bɪg,形容詞(adj.)
bill,請求書,piece of paper showing what you have to pay,bɪl,名詞(n.)
billion,十億,"number 1,000,000,000",ˈbɪljən,数詞(num.)
bird,鳥,animal with feathers that uses wings to fly,bɜrd,名詞(n.)
birth,誕生,time when a baby or young animal is born,bɜrθ,名詞(n.)
bit,少し；部分,small piece of something,bɪt,名詞(n.)
black,黒い,color of the sky on a dark night,blæk,形容詞(adj.)
blood,血,red liquid in the bodies of people and animals,blʌd,名詞(n.)
bloody,血がついた，ひどく,Covered or spotted with blood on the surface,ˈblʌdi,形容詞(adj.)
blow,吹き飛ばす,To move something using air,bloʊ,動詞(verb)
blue,青い,color of the clear sky,blu,形容詞(adj.)
boat,ボート；船,small form of transport for traveling on water,boʊt,名詞(n.)
body,体；人,A person's physical self,ˈbɑdi,名詞(n.)
bone,骨,hard piece of your body that forms the skeleton,boʊn,名詞(n.)
book,本,Thing made of pages with writing on that you read,bʊk,名詞(n.)
both,両方,Used to refer to two things at the same time,boʊθ,形容詞(adj.)
bother,悩ませる；思い悩む,To take the trouble to do something,ˈbɑðər,動詞(verb)
bottle,ボトル；瓶,container with a narrow neck used to hold liquids,ˈbɑtəl,名詞(n.)
bottom,底,lowest part of something; part on which it rests,ˈbɑtəm,名詞(n.)
box,箱；ボックス,A container with (usually) four straight sides and a lid,bɑks,名詞(n.)
boy,男の子,A young male person,bɔɪ,名詞(n.)
bread,パン,"Baked food made from flour, used in sandwiches, etc.",brɛd,名詞(n.)
break,壊す；折る,"to separate into pieces by force, or by dropping",breɪk,動詞(verb)
breakfast,朝食,first meal of the day,ˈbrɛkfəst,名詞(n.)
breath,息；呼吸,air you take in and out of your body,brɛθ,名詞(n.)
bright,明るい;  まぶしい,Producing a lot of light,braɪt,形容詞(adj.)
bring,持ってくる；もたらす；至らせる,to take or go with someone to a place,brɪŋ,動詞(verb)
brother,兄弟；仲間,A boy or man who shares a parent with you,ˈbrʌðər,名詞(n.)
brown,茶色の,of the color of coffee or chocolate,braʊn,形容詞(adj.)
build,建てる；作る,"To make, e.g. a house, by putting materials together",bɪld,動詞(verb)
burn,燃える；焼く,To destroy with fire,bɜrn,動詞(verb)
bus,バス,A large road vehicle used for carrying many people,bʌs,名詞(n.)
business,会社,A company formed for making profit,ˈbɪznəs,名詞(n.)
busy,忙しい,working hard doing something; full of activity,ˈbɪzi,形容詞(adj.)
but,でも,"Used before you say something different, opposite",bʌt,接続詞(conj.)
buy,買う,To get something by paying money for it,baɪ,動詞(verb)
buyer,買い手,"A person who buys, e.g. a customer in a store",ˈbaɪər,名詞(n.)
by,～の近くに,Near; with,baɪ,前置詞(prep.)
cake,ケーキ,"A sweet baked food made from flour, eggs, fat and sugar",keɪk,名詞(n.)
camp,キャンプ,place where people live for a short time in tents,kæmp,名詞(n.)
can,〜することができる,To be able to; have the skill to; have the time to,kæn,助動詞(aux.)
car,車,A vehicle with four wheels and engine that can carry things,kɑr,名詞(n.)
card,カード,small piece of paper or plastic used as I.D.,kɑrd,名詞(n.)
care,世話をする,to look after someone or something,kɛr,動詞(verb)
careful,注意深い,Thinking about what you are doing in order to avoid a mistake,ˈkɛrfəl,形容詞(adj.)
carefully,注意深く,In a manner that involves focus and care,ˈkɛrfəli,副詞(adv)
carry,運ぶ；持つ,To hold something and move it to another place,ˈkæri,動詞(verb)
case,場合,example or instance of something,keɪs,名詞(n.)
cat,猫,"animal of the lion, tiger and leopard family",kæt,名詞(n.)
catch,捕まえる,use your hands to stop and hold something flying,kæʧ,動詞(verb)
cause,～の原因となる；引き起こす；～させる,To make something happen; create effect or result,kɑz,動詞(verb)
center,中心,place in the middle of something,ˈsɛntər,名詞(n.)
central,中央の； 主要な,Being in the middle,ˈsɛntrəl,形容詞(adj.)
certain,確信している；必ず～する；明白である；若干の,Being sure about something; without doubt,ˈsɜrtən,形容詞(adj.)
certainly,確かに,(said when something is definitely true or is sure to  happen),ˈsɜrtənli,副詞(adv)
chair,椅子,A piece of furniture you sit on when sitting at a table or desk,ʧɛr,名詞(n.)
chance,機会；可能性；偶然,The possibility that something will happen,ʧæns,名詞(n.)
change,変える； 変わる,"To make or become different, or into something else",ʧeɪnʤ,動詞(verb)
charge,請求する,To ask for money as a price for a service or goods,ʧɑrʤ,動詞(verb)
cheap,安い,Not costing a lot of money,ʧip,形容詞(adj.)
check,確認する,To confirm the details of something are correct,ʧɛk,動詞(verb)
chicken,ニワトリ,A bird which cannot fly that is raised for its eggs and meat,ˈʧɪkən,名詞(n.)
child,子ども,"A very young person, between about 2 and 15",ʧaɪld,名詞(n.)
childhood,子供時代,The time when you are a child,ˈʧaɪldˌhʊd,名詞(n.)
chip,削り取る,To break a piece off something e.g. a cup,ʧɪp,動詞(verb)
choice,選択,decision between two or more possibilities,ʧɔɪs,名詞(n.)
choose,選ぶ,To select; decide between several possibilities,ʧuz,動詞(verb)
church,教会,building where christians gather and pray to god,ʧɜrʧ,名詞(n.)
city,市；都市,A heavily populated area with many buildings and roads,ˈsɪti,名詞(n.)
class,階級； ランク,"rank or level in society, ranked from high (rich professional people) to low (ordinary people)",klæs,名詞(n.)
clean,きれいな；清潔な,Being free from dirt or marks because it was washed,klin,形容詞(adj.)
clear,はっきりした,Easy to understand; well-explained; obvious,klɪr,形容詞(adj.)
clearly,はっきりと,In a way that is easy to understand; obviously,ˈklɪrli,副詞(adv)
climb,登る,To rise gradually and steadily to a higher point,klaɪm,動詞(verb)
clock,時計,A device that shows the time,klɑk,名詞(n.)
close,近い,Next to; only a short distance away,kloʊs,副詞(adv)
closely,密接に,nearby; just next to,ˈkloʊsli,副詞(adv)
clothes,衣服,"The things you wear on your body e.g. shirt, dress, tie",kloʊðz,名詞(n.) 複数形(pl.)
clothing,衣類,"The things you wear on your body e.g. shirt, dress, tie",ˈkloʊðɪŋ,名詞(n.)
club,クラブ； 同好会； 会員制組織，,"group of people who share an interest, as in sport",klʌb,名詞(n.)
coat,上着;  コート,clothing worn outside over your normal clothes,koʊt,名詞(n.)
coffee,コーヒー,A brown drink made from roasted beans and boiled water,ˈkɑfi,名詞(n.)
cold,冷たい；寒い,Having a very low temperature,koʊld,形容詞(adj.)
collect,集める,To gather things/people together in one place,kəˈlɛkt,動詞(verb)
collection,収集物(品);  コレクション,group of similar things gathered as a hobby,kəˈlɛkʃən,名詞(n.)
college,大学；（米）単科大学,school or educational institution for adults,ˈkɑlɪʤ,名詞(n.)
color,色,"Quality of things you can see, e.g. red, blue",ˈkʌlər,名詞(n.)
come,行く,To move toward someone; go with someone,kʌm,動詞(verb)
comfort,快適さ； 安楽,"state of being relaxed, warm or happy",ˈkʌmfərt,名詞(n.)
comfortable,快適な； 心地よい,not being worried about something; at ease,ˈkʌmfərtəbəl,形容詞(adj.)
company,会社,A business that sells things or provides services,ˈkʌmpəni,名詞(n.)
complete,完全にする；完成させる,To finish or reach the end of doing something,kəmˈplit,動詞(verb)
completely,完全に,In every way or as much as possible,kəmˈplitli,副詞(adv)
compute,計算する,To find out by calculating or estimating,kəmˈpjut,動詞(verb)
computer,コンピュータ,A machine for storing information and accessing the internet,kəmˈpjutər,名詞(n.)
concern,心配； 懸念,feeling of worry or anxiety,kənˈsɜrn,名詞(n.)
consider,考慮する；みなす,To think carefully about something,kənˈsɪdər,動詞(verb)
consideration,考慮事項,careful thought; thinking about something,kənˌsɪdəˈreɪʃən,名詞(n.)
continue,続く,"To do something without stopping, or after pausing",kənˈtɪnju,動詞(verb)
continuous,連続的な,"Happening, existing, or being performed without stops",kənˈtɪnjuəs,形容詞(adj.)
control,支配する；管理する；抑制する；照査する,To direct or influence the behavior of something,kənˈtroʊl,動詞(verb)
conversation,会話;  対談,when you talk with other people; discussion or chat,ˌkɑnvərˈseɪʃən,名詞(n.)
cook,料理する,To heat food until it is ready to eat,kʊk,動詞(verb)
cool,涼しい；冷たい,Almost cold; not warm or hot,kul,形容詞(adj.)
corner,コーナー；角；地域；窮地,"place where two lines, sides, corners etc meet",ˈkɔrnər,名詞(n.)
cost,費用,The price you pay for something,kɑst,名詞(n.)
could,～できた,"Used as the past form of can, to indicate possibility",kʊd,動詞(verb)
count,数える；重要である,To add things together to find the total number,kaʊnt,動詞(verb)
country,国,An area of land that is controlled by a government,ˈkʌntri,名詞(n.)
couple,ペア；カップル,two of something; two people; a pair,ˈkʌpəl,名詞(n.)
course,方向;  進路,"The route or direction that a river, etc moves along",kɔrs,名詞(n.)
court,(テニスなどの)コート,"large, flat area, to play tennis or basketball",kɔrt,名詞(n.)
cover,蓋;  覆う,thing you put over something to close or hide it,ˈkʌvər,名詞(n.)
coverage,報道,type of programs a radio or TV station broadcasts,ˈkʌvərəʤ,名詞(n.)
crazy,気が狂った；夢中である,Not being sensible or practical,ˈkreɪzi,形容詞(adj.)
crime,犯罪,"act that is against the law; murder, theft etc",kraɪm,名詞(n.)
cross,横断する；交差する，交差している,To meet at one point,krɔs,動詞(verb)
cry,泣く,to produce tears and sounds because of pain,kraɪ,動詞(verb)
cup,カップ,small round container used to hold liquids for drinking,kʌp,名詞(n.)
cut,切る,To use a knife or scissors to divide or open the surface,kʌt,動詞(verb)
daily,日々,Happening every day,ˈdeɪli,副詞(adv)
dance,踊る,To move your body rhythmically to music,dæns,動詞(verb)
danger,危険,"The possibility of getting hurt, damaged, or killed",ˈdeɪnʤər,名詞(n.)
dangerous,危険な,involving the chance of hurt or damage; risky,ˈdeɪnʤərəs,形容詞(adj.)
dark,暗い,Having little or no light; not light in color,dɑrk,形容詞(adj.)
darkness,暗さ；黒さ,The state or quality of being dark in color,ˈdɑrknəs,名詞(n.)
date,日付,A day in the calendar such as January 3rd,deɪt,名詞(n.)
daughter,娘,A female child of someone,ˈdɔtər,名詞(n.)
day,日,Each of the 24 hours beginning at midnight,deɪ,名詞(n.)
dead,死んでいる,Not alive,dɛd,形容詞(adj.)
deal,分け与える；配る,"to give out (cards, etc) to; distribute",dil,動詞(verb)
dealer,販売業者,Someone who buys things to sell to others,ˈdilər,名詞(n.)
dear,親愛な,Loved or valued very much,dɪr,形容詞(adj.)
death,死；死亡,when someone dies; the end of life,dɛθ,名詞(n.)
decide,決める,To make a choice about something or choose after thinking,ˌdɪˈsaɪd,動詞(verb)
deep,深い,Going far down from the surface,dip,形容詞(adj.)
deeply,深く；深刻に,"to a great, intense or extreme extent",ˈdipli,副詞(adv)
definitely,明確に,Without question; beyond doubt,ˈdɛfənətli,副詞(adv)
degree,度;  程度；レベル,unit for measuring temperature or angles,dɪˈgri,名詞(n.)
depend," 〖on [upon] A〗A 次第である, Aによって決まる,依存する, 頼る",To rely on for support (financial or emotional),dɪˈpɛnd,動詞(verb)
dependent,他人に頼っている,Someone who relies on someone for (financial) support,dɪˈpɛndənt,形容詞(adj.)
depth,深さ,distance below a surface,dɛpθ,名詞(n.)
die,死ぬ,(of a person) to stop living,daɪ,動詞(verb)
difference,相違,Not of the same kind; unlike other things,ˈdɪfərəns,名詞(n.)
different,異なる；いろいろな；変わった,Not of the same kind; unlike other things,ˈdɪfərənt,形容詞(adj.)
differently,異なって,In another and different manner,ˈdɪfrəntli,副詞(adv)
difficult,難しい,Hard; not easy; you need to work hard to do it,ˈdɪfəkəlt,形容詞(adj.)
difficulty,難しさ；困難,Something that is hard to do,ˈdɪfəkəlti,名詞(n.)
dig,掘る,To move material to create a hole,dɪg,動詞(verb)
dinner,夕食,"The main meal of the day, usually in the evening in the US",ˈdɪnər,名詞(n.)
dirty,汚い,Not clean,ˈdɜrti,形容詞(adj.)
discover,発見する,To find something new that was not known before,dɪˈskʌvər,動詞(verb)
discovery,発見,Learning something for the first time,dɪˈskʌvəri,名詞(n.)
do,する,To act; to perform actions,du,動詞(verb)
dog,犬,Small 4-legged animal that barks kept as a pet,dɔg,名詞(n.)
door,ドア,You walk through this when you go in a room,dɔr,名詞(n.)
double,二倍，二倍の,Two times the amount or degree; twice,ˈdʌbəl,前置詞(prep.)
doubt,疑い,not being sure of something; lack of certainty,daʊt,名詞(n.)
down,下へ；下って,Going from a higher position to a lower position,daʊn,前置詞(prep.)
draw,線を引く；描く,To create an image using pen or pencil and paper,drɔ,動詞(verb)
dream,夢,"images, thoughts, and feelings that are experienced during sleep",drim,名詞(n.)
dress,ドレス；ワンピース；服装,Women's garment with a top part and a skirt,drɛs,名詞(n.)
drink,飲む,To put water in your body through your mouth,drɪŋk,動詞(verb)
drive,運転する,To control a vehicle so that it moves somewhere,draɪv,動詞(verb)
driver,運転手,Someone who operates a vehicle,ˈdraɪvər,名詞(n.)
drop,落とす,To let something fall from your hand,drɑp,動詞(verb)
drug,薬,chemical used as a medicine,drʌg,名詞(n.)
dry,乾いた,Without water; not wet,draɪ,形容詞(adj.)
during,～の間に,At some point in the course of an event or thing,ˈdʊrɪŋ,前置詞(prep.)
each,各；1つ1つの,Every one of two or more things,iʧ,限定詞(det.)
ear,耳,Thing on either side of your head that you hear with,ir,名詞(n.)
early,早い；初期の,Happening sooner than expected,ˈɜrli,形容詞(adj.)
earth,地球,the planet we live on,ɜrθ,名詞(n.)
easily,簡単に,without difficulty,ˈizəli,副詞(adv)
east,東,The direction where the sun rises,ist,名詞(n.)
easy,簡単な；ゆったりした,Not hard to do; not difficult,ˈizi,形容詞(adj.)
eat,"食べる
",to put food in your mouth,it,動詞(verb)
edge,端；ふち,boundary of a surface,ɛʤ,名詞(n.)
educate,教育する,to teach someone in a school or college,ˈɛʤəˌkeɪt,動詞(verb)
educational,教育の,Intended to teach or inform,ˌɛʤəˈkeɪʃənəl,形容詞(adj.)
egg,卵,hard-shelled thing from which a young bird is born,ɛg,名詞(n.)
eight,8,8,eɪt,数詞(num.)
eighteen,18,18,eɪˈtin,数詞(num.)
eighty,80,80,ˈeɪti,数詞(num.)
either,どちらか,one of two (used when there is a choice of two),ˈiðər,形容詞(adj.)
else,その他に；さもないと,otherwise; if you fail to...,ɛls,副詞(adv)
elsewhere,どこか他の所で,In or to another or different place,ˈɛlˌswɛr,副詞(adv)
employ,雇う,To pay a person to work for you; to give a job to,ɛmˈplɔɪ,動詞(verb)
employee,従業員,person who works for someone else for payment,ɛmˈplɔɪi,名詞(n.)
employer,雇用主,person or firm that hires workers,ɛmˈplɔɪər,名詞(n.)
employment,雇用,act of employing someone,ɛmˈplɔɪmənt,名詞(n.)
empty,空っぽの,Containing nothing; with no contents,ˈɛmpti,形容詞(adj.)
engine,エンジン,machine that changes energy into mechanical motion,ˈɛnʤən,名詞(n.)
enjoy,楽しむ,To take pleasure in something,ɛnˈʤɔɪ,動詞(verb)
enough,十分な，十分に,Equal to what is needed; as much as required,ɪˈnʌf,形容詞(adj.)
enter,入る,To go into a room,ˈɛntər,動詞(verb)
especially,特に,More than usual; extremely,əˈspɛʃli,副詞(adv)
even,更に,(when this is surprising) as well; too,ˈivɪn,副詞(adv)
evening,夕方；晩,The last part of the day and early part of the night,ˈivnɪŋ,n
ever,今までに；絶対に；ずっと；いつか；いったい,At any time; at all times in the future,ˈɛvər,副詞(adv)
every,すべての；毎～,Including each person or thing in a group,ˈɛvəri,限定詞(det.)
everybody,みんな；誰でも,Every person; everyone,ˈɛvriˌbɑdi,代名詞(pron.)
everyday,毎日；日常の,Used or seen daily; suitable for daily use; ordinary,ˈɛvriˈdeɪ,形容詞(adj.)
everyone,みんな；誰でも,Every person; everybody,ˈɛvriˌwʌn,代名詞(pron.)
everything,すべてのこと・もの,All of the things mentioned,ˈɛvriˌθɪŋ,代名詞(pron.)
everywhere,どこでも；どこで～しても,Every place,ˈɛvriˌwɛr,副詞(adv)
exact,正確な,Completely correct; accurate; specific,ɪgˈzækt,形容詞(adj.)
exactly,正確に,No more and no less than; precisely,ɪgˈzæktli,副詞(adv)
except,～を除いて；～以外,Not including; other than,ɪkˈsɛpt,前置詞(prep.)
excite,刺激する；興奮させる,"To make someone feel happy, interested or eager",ɪkˈsaɪt,動詞(verb)
excitement,興奮；刺激,When people feel very happy and enthusiastic,ɪkˈsaɪtmənt,名詞(n.)
excuse,免除する,"to allow someone not to do (jury service, etc)",ɪkˈskjus,動詞(verb)
expect,予期する；期待する,To believe something is probably going to happen,ɪkˈspɛkt,動詞(verb)
expectation,予想；期待,belief or hope that something is going to happen,ˌɛkspɛkˈteɪʃən,名詞(n.)
expensive,値段が高い,Costing a lot of money,ɪkˈspɛnsɪv,形容詞(adj.)
experience,経験,"knowledge gained by living life, doing new things",ɪkˈspɪriəns,名詞(n.)
explain,説明する,To make clear or easy to understand by describing,ɪkˈspleɪn,動詞(verb)
explanation,説明,details or reasons given to make something clear,ˌɛkspləˈneɪʃən,名詞(n.)
express,表す；述べる,To state or show what you think or how you feel,ɪkˈsprɛs,動詞(verb)
expression,表現；表情,act of making your thoughts and feelings known,ɪkˈsprɛʃən,名詞(n.)
extra,余分の，余分なもの,More than necessary; additional,ˈɛkstrə,形容詞(adj.)
eye,目,The part of the body that you see with,aɪ,名詞(n.)
face,顔,"front part of the head where eyes, nose, and mouth are",feɪs,名詞(n.)
fact,事実,something that is known or proved to be true,fækt,名詞(n.)
fair,公正な；公平な,Treating all people the same way,fɛr,形容詞(adj.)
fairly,かなり,quite; pretty; between very and a little,ˈfɛrli,副詞(adv)
family,家族,a group of people who are related through blood,ˈfæməli,名詞(n.)
far,遠い,a long way away,fɑr,形容詞(adj.)
farm,農場,Land used for growing crops or raising animals,fɑrm,名詞(n.)
farmer,農家の人,person who operates a farm,ˈfɑrmər,名詞(n.)
fast,速い,Moving or able to move quickly,fæst,形容詞(adj.)
fat,脂肪,oily part of meat,fæt,名詞(n.)
father,父,A male parent,ˈfɑðər,名詞(n.)
favorite,お気に入りの,Most liked; best loved,ˈfeɪvərɪt,形容詞(adj.)
fear,恐れ,unpleasant feeling caused by being aware of danger,fɪr,名詞(n.)
feed,食べ物を与える,"To give food, e.g. to animals or a baby",fid,動詞(verb)
feel,感じる,To be aware of or experience an emotion or sensation,fil,動詞(verb)
few,少ない；ほとんどない,not many; small in number,fju,形容詞(adj.)
field,野原,"open area of land, especially without buildings",fild,名詞(n.)
fifteen,15,15,fɪfˈtin,数詞(num.)
fifty,50,50,ˈfɪfti,数詞(num.)
fight,けんか；戦い,act of trying to hurt someone by hitting them,faɪt,名詞(n.)
figure,～と考える,to understand after thinking; work out,ˈfɪgjər,動詞(verb)
fill,いっぱいにする；満たす,To make something full,fɪl,動詞(verb)
film,映画,movie,fɪlm,名詞(n.)
final,最後の,Being the last thing in a series,ˈfaɪnəl,形容詞(adj.)
finally,最後に；やっと,After a long time or some difficulty,ˈfaɪnəli,副詞(adv)
find,発見する,To discover something by looking for it,faɪnd,動詞(verb)
fine,十分な,"Good, acceptable or satisfactory",faɪn,形容詞(adj.)
finger,指,One of the five long parts of the hand,ˈfɪŋgər,名詞(n.)
finish,終わり,the end of something; completion,ˈfɪnɪʃ,名詞(n.)
